dataset,MotionGRU,FCN,ConvLSTM,DisjointCNN,ConvTran,LITEMV,H-Inception,STGCN,VanTran
IRDS_clf_bn_EFL,0.08430170059204098,0.1756628799438476,0.2012451171875002,0.348404769897461,0.3857666397094726,0.48801735877990715,0.7749718284606936,0.803950529098511,1.327780084609984
IRDS_clf_bn_EFR,0.10000185966491681,0.1997186851501464,0.21580777168273918,0.3727071475982666,0.4419638061523436,0.5493724155426026,0.8852501296997071,0.974867763519287,1.47654718399048
IRDS_clf_bn_SAL,0.0933254146575928,0.20011250495910637,0.2112569427490234,0.3696668434143064,0.46268391609191906,0.5487111568450928,0.8886099624633792,0.9481862354278565,1.470283727645872
IRDS_clf_bn_SAR,0.09309069633483877,0.19204827308654798,0.21443490028381343,0.36002681732177744,0.43961536407470697,0.5545466423034668,0.8772016239166252,0.9741368865966796,1.50782380104065
IRDS_clf_bn_SFE,0.09002667427062985,0.17876115798950182,0.20023589134216283,0.34204734802246095,0.3926347255706788,0.486311044692993,0.7814060974121092,0.859748115539551,1.3456027603149419
IRDS_clf_bn_SFL,0.1036555385589601,0.227717123031616,0.2345670318603516,0.414344129562378,0.5337436962127686,0.6218732929229736,0.9843249034881592,1.1403141117095954,1.6087774658203142
IRDS_clf_bn_SFR,0.09397643089294427,0.1985084629058838,0.20209699630737302,0.36889975547790543,0.48534069061279295,0.551667757034302,0.8745025157928467,1.0055807590484622,1.424182529449464
IRDS_clf_bn_STL,0.09374551773071278,0.1976555156707766,0.206593904495239,0.3743244457244872,0.45004566192626944,0.5451319980621341,0.8795637798309336,0.9689730930328366,1.4755222034454358
IRDS_clf_bn_STR,0.09378069877624512,0.2000449657440186,0.20992871284484882,0.369350690841675,0.45756416320800763,0.5476702976226808,0.8772410106658933,0.9738915348052976,1.4415460586547861
KERAAL_clf_bn_CTK,0.0866340319315592,0.17730951309204102,0.19063467184702568,0.329498314857483,0.39348026116689033,0.5315577427546182,0.7756762345631918,0.988798586527507,1.221425223350525
KERAAL_clf_bn_ELK,0.08752808570861814,0.17807903289794935,0.20824852784474668,0.33028500874837236,0.4021263281504315,0.5406950871149699,0.7871900955835981,0.9886046568552666,1.3141516129175816
KERAAL_clf_bn_RTK,0.08656110763549803,0.17568268775939952,0.18924386501312251,0.32515277862548836,0.38821601072947187,0.5270773569742838,0.7731129964192709,0.9776247342427572,1.2780888875325533
KERAAL_clf_mc_CTK,0.08752981026967366,0.17612442175547283,0.20291264851888016,0.3293748060862223,0.402326766649882,0.5316197633743285,0.7756376504898072,0.9877811908721909,1.2396244764328
KERAAL_clf_mc_ELK,0.0875813007354736,0.18053374290466298,0.21548596223195382,0.32809615135192866,0.39596100648244237,0.539907749493917,0.7843486944834392,0.9627052863438917,1.2944325923919666
KERAAL_clf_mc_RTK,0.08742622534433998,0.17500647703806568,0.19624730745951333,0.3276073853174845,0.39041181405385333,0.5301605145136515,0.7729264815648399,0.9484324614206945,1.29166467189789
KIMORE_clf_bn_LA,0.09313471794128414,0.178629913330078,0.19693640708923318,0.3283496761322022,0.3848861598968506,0.428779182434082,0.7370560550689698,1.36215021133423,1.402817773818972
KIMORE_clf_bn_LT,0.09463678359985347,0.1784295272827148,0.1907302761077882,0.33429796218872065,0.384040002822876,0.4324843978881838,0.7439874744415282,1.439584865570068,1.332416925430298
KIMORE_clf_bn_PR,0.0953808975219726,0.17915976524353022,0.1853876495361326,0.3337483215332032,0.386675329208374,0.43082004547119135,0.7432702827453612,1.424817867279052,1.4263921737670882
KIMORE_clf_bn_Sq,0.09044513702392573,0.178001012802124,0.1778185558319092,0.3375577259063722,0.413185577392578,0.42948423385620094,0.7363517189025875,1.199142780303956,1.301363821029664
KIMORE_clf_bn_TR,0.0969227027893066,0.180154514312744,0.19165509223938,0.332824878692627,0.3867779541015624,0.42955616950988784,0.7394513702392578,1.435769605636596,1.349342441558838
KINECAL_clf_bn_3WFV,0.08591464996337886,0.1779572105407716,0.19376482963562,0.3418146800994874,0.3963275814056394,0.5047870349884034,0.7854258155822756,0.976235218048096,1.264289226531984
KINECAL_clf_bn_GGFV,0.08773745536804196,0.17780139923095678,0.21581477165222157,0.340543746948242,0.3913352870941162,0.50091459274292,0.796431579589844,1.0136900424957271,1.312328853607178
KINECAL_clf_bn_QSEC,0.0922187709808349,0.1798752307891846,0.1992446613311768,0.3443244647979734,0.384244270324707,0.48942827224731456,0.7832733058929444,1.248716344833376,1.33301296234131
KINECAL_clf_bn_QSEO,0.09258074760437007,0.18351121902465822,0.20896636009216318,0.3401721286773682,0.3990221309661866,0.5037605094909667,0.791032428741455,1.228489656448366,1.3978037548065199
SPHERE_clf_bn_WUS,0.08523438771565751,0.16743081410725935,0.17349950472513817,0.3209595839182538,0.3970131238301595,0.37717647552490213,0.7041547139485674,0.9013916810353595,1.311089102427165
UCDHE_clf_bn_MP,0.1808724308013914,0.3068127727508546,0.23481381416320798,0.5221458148956302,0.7430969429016112,0.6257591056823733,1.212332944869996,3.192766771316528,1.2813353157043441
UCDHE_clf_bn_Rowing,0.1908223915100098,0.3118921756744384,0.2453186321258546,0.539569902420044,0.7430727863311768,0.6316631603240968,1.2259262466430658,3.72549708366394,1.2453579425811738
UCDHE_clf_mc_MP,0.16950436592102042,0.30191064834594716,0.24212256431579576,0.533621301651001,0.7380331134796142,0.6226043128967284,1.2100652694702139,3.23099383354187,1.8440193843841581
UCDHE_clf_mc_Rowing,0.1713454055786132,0.3076354122161864,0.2621305274963378,0.568591537475586,0.7385362529754635,0.619383888244629,1.2108454322814939,3.7666213035583502,1.806492509841918
UIPRMD_clf_bn_DS,0.12991799354553218,0.285899705886841,0.262979612350464,0.5265567302703855,0.7294038295745849,0.714541301727295,1.289006757736206,1.522059602737426,2.00356848716736
UIPRMD_clf_bn_HS,0.08308843885149267,0.22842341150556283,0.1762079511369977,0.3414899417332241,0.3984109946659634,0.437921837397984,0.730136966705322,0.8536310945238385,1.3692974567413343
UIPRMD_clf_bn_IL,0.08308033943176264,0.18116094271341984,0.17693754037221252,0.3269176801045735,0.3946620782216386,0.43951178391774487,0.7322558403015137,0.8328359524408975,1.3268602768580133
UIPRMD_clf_bn_SASLR,0.08444930911064144,0.17837015390396113,0.18613085746765126,0.3358018398284911,0.4029764235019684,0.4405727088451386,0.7312741219997408,0.8338588416576386,1.3355140388011926
UIPRMD_clf_bn_SL,0.08327932357788081,0.17599669694900513,0.1842800736427305,0.33049402236938474,0.3976811408996584,0.441128933429718,0.7324174106121065,0.8480272471904755,1.342170214653014
UIPRMD_clf_bn_SSA,0.08288337843758715,0.17758047921316972,0.17507226126534586,0.3399867875235419,0.3908313274383547,0.4401557922363281,0.73791777747018,0.82251113482884,1.3389858245849628
UIPRMD_clf_bn_SSE,0.08329329490661617,0.17906791567802424,0.18274742364883412,0.32672523260116576,0.3813525080680845,0.4389994442462921,0.7324297785758971,0.8354430794715881,1.3744086027145388
UIPRMD_clf_bn_SSIER,0.0828560352325439,0.17638604981558656,0.17448230470929812,0.33517411095755445,0.3845740522657121,0.44118012019566116,0.7405228410448347,0.831890685217721,1.3169898578098855
UIPRMD_clf_bn_SSS,0.08225474357604974,0.17691086133321118,0.18683706919352217,0.3401316006978354,0.39050018787384033,0.43868316809336333,0.7358080307642619,0.8479773600896198,1.3611572424570717
UIPRMD_clf_bn_STS,0.11081969261169415,0.240417528152466,0.2223244953155516,0.44120434761047356,0.560145092010498,0.6157764434814452,1.0812006759643542,1.2465151405334471,1.719142417907714
EHE_reg_BWL,0.1396944999694822,0.2595695304870606,0.430509328842163,0.6198887634277345,0.812349805831909,1.0378926563262942,1.4754075241088866,1.3650401401519756,1.962548198699952
EHE_reg_BWR,0.12997375488281226,0.2399710655212402,0.4051076126098634,0.5731177425384522,0.7265148544311522,0.9629912185668946,1.3463637161254893,1.228617687225342,1.816245050430298
EHE_reg_HUD,0.1097859573364256,0.19086507797241178,0.37673412322998046,0.432370309829712,0.5213062286376953,0.7682131195068362,0.9742847633361815,0.8799690914154054,1.578731899261474
EHE_reg_WB,0.10357351303100579,0.28941279411315923,0.3533358764648436,0.44143848419189463,0.5065964889526369,0.8869815444946291,0.9590641021728515,0.8734619903564456,1.5048590373992918
EHE_reg_WF,0.1017667388916016,0.1806095886230468,0.35508281707763645,0.44877167701721177,0.4785752964019774,0.8838781452178956,0.9625087642669676,0.9054683876037597,1.5094428157806399
EHE_reg_WH,0.1492587089538574,0.2806469821929932,0.45291168212890637,0.6403014659881592,0.9090597057342528,1.0926972389221181,1.59112237930298,1.4791845035553,2.1047097873687717
KIMORE_reg_LA,0.10630692481994619,0.1808801555633544,0.232031030654907,0.3711835384368896,0.5117213821411134,0.462695484161377,0.8674332427978516,1.33028624534607,1.528091201782226
KIMORE_reg_LT,0.1073842334747314,0.1785551357269286,0.2309718227386474,0.365383014678955,0.50877459526062,0.4657278919219972,0.8687494277954102,1.37720549583435,1.4803538227081279
KIMORE_reg_PR,0.10839433670043941,0.18743754386901862,0.2457746505737306,0.3719922161102294,0.5095301437377929,0.4666766834259036,0.8656579113006589,1.439371948242186,1.614274702072144
KIMORE_reg_Sq,0.10427541732788079,0.1773007583618164,0.216546058654785,0.3638339042663574,0.5655195140838624,0.4453222846984864,0.8422511100769041,1.22434042930603,1.511661853790282
KIMORE_reg_TR,0.107601261138916,0.1788402366638182,0.24214531898498542,0.368867540359497,0.51327091217041,0.461213150024414,0.8600737285614011,1.435305786132814,1.541781625747682
UIPRMD_reg_DS,0.1478010749816894,0.27417031288146976,0.304739713668823,0.6041606807708738,0.8812968158721924,0.7881432914733886,1.4664573097229001,1.523512783050536,2.280001564025876
UIPRMD_reg_HS,0.10006508146013528,0.1759040355682373,0.215038892201015,0.3645576681409564,0.482866437094552,0.4599938188280377,0.8525577408926829,0.8530665533883232,1.5669691767011371
UIPRMD_reg_IL,0.09972722530364979,0.17435115973154702,0.22230589389801017,0.3673286596934002,0.49167250792185485,0.46118207772572833,0.8537109057108564,0.8484780947367349,1.5163321733474735
UIPRMD_reg_SASLR,0.09934222102165212,0.17371513843536388,0.21874598264694226,0.36586627960205087,0.4810830950737,0.4493470966815947,0.8575962543487547,0.8453214406967164,1.5342468202114112
UIPRMD_reg_SL,0.09981974959373469,0.175304627418518,0.2151610672473905,0.3701064705848694,0.49472062587738036,0.46563582420349137,0.8645234823226927,0.8668364465236664,1.5324573874473588
UIPRMD_reg_SSA,0.09987119947161001,0.17662493841988686,0.2092959472111293,0.3696707180568149,0.48236263138907315,0.4662119252341134,0.8685050759996689,0.8552521705627443,1.506102527890887
UIPRMD_reg_SSE,0.09968603849411008,0.17670562863349912,0.20880789160728436,0.36435075998306266,0.4940523862838746,0.46424733400344875,0.8665681660175325,0.8670927464962007,1.52003133893013
UIPRMD_reg_SSIER,0.09981214659554602,0.17398232732500343,0.21553293636866985,0.36692572321210587,0.49027372087751114,0.4663278784070696,0.8706804411751884,0.85878381729126,1.4890943254743285
UIPRMD_reg_SSS,0.10037974516550685,0.17364285786946598,0.209703000386556,0.37044341564178446,0.4820765813191732,0.4648936748504638,0.8801893472671506,0.845576286315918,1.5430759986241682
UIPRMD_reg_STS,0.1281900310516358,0.22723198890686042,0.2737486171722414,0.5013949775695801,0.690001173019409,0.6663877773284912,1.2225448513031003,1.2695081043243404,1.946099758148194
